UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days,Target_Customers
U106464,1,1,76,PR100017,WINDOWS,PR100017,1,0,0
U128141,0,1,370,PR100240,ANDROID,PR100240,0,0,0
U105710,1,5,67,PR100723,ANDROID,PR100089,2,0,0
U135766,0,0,383,Product101,ANDROID,PR100895,0,0,0
U115112,0,1,592,PR100273,WINDOWS,Product101,0,0,0
U109588,1,2,124,PR100908,WINDOWS,PR100178,0,36,0
U110543,1,1,549,PR100102,WINDOWS,Product101,0,0,0
U104592,1,7,64,PR100199,WINDOWS,PR100133,6,4,0
U133481,0,0,110,Product101,WINDOWS,PR100119,0,0,0
U125860,0,2,59,PR100017,ANDROID,PR100102,0,0,0
U116906,1,5,117,PR100166,ANDROID,PR100095,0,1,0
U122512,0,2,139,PR100017,ANDROID,PR100102,0,0,0
U114317,1,4,353,PR100458,WINDOWS,PR100458,5,4,0
U108024,1,2,1927,PR100166,ANDROID,PR100390,3,3,0
U100911,0,2,60,PR100209,WINDOWS,PR100209,0,0,0
U126607,0,1,62,PR101814,ANDROID,PR101814,0,0,0
U107959,2,2,391,PR100177,WINDOWS,PR100877,1,0,0
U105961,1,1,106,PR100320,WINDOWS,PR100320,1,6,0
U129915,0,0,59,Product101,WINDOWS,Product101,0,0,0
U107093,2,1,60,PR100036,WINDOWS,PR100036,2,3,0
U102516,2,3,86,PR100704,LINUX,PR100983,1,30,0
U106716,1,0,69,Product101,MAC OS X,Product101,1,0,0
U135552,0,0,76,Product101,MAC OS X,PR101741,0,0,0
U105947,1,1,168,PR100453,WINDOWS,PR100453,1,2,0
U128306,0,1,1080,PR100200,ANDROID,PR100200,0,0,0
U120389,0,1,118,PR100859,ANDROID,PR100859,0,0,0
U119956,0,0,911,Product101,WINDOWS,Product101,0,0,0
U109415,1,1,166,PR100234,ANDROID,PR100234,1,0,0
U121250,0,0,84,Product101,WINDOWS,PR100424,0,0,0
U124884,0,0,65,Product101,MAC OS X,PR100003,0,0,0
U115076,1,1,92,PR100017,WINDOWS,PR100017,1,0,0
U124535,0,1,62,PR100865,WINDOWS,PR100865,0,0,0
U130767,0,0,47,Product101,WINDOWS,PR100834,0,0,0
U105774,5,6,479,PR100515,WINDOWS,PR100281,9,4,0
U104162,0,3,2270,PR101200,WINDOWS,PR100209,0,0,0
U135408,0,0,123,Product101,WINDOWS,PR100123,0,0,0
U112622,1,1,589,PR100017,WINDOWS,Product101,1,3,0
U121068,0,1,126,PR100780,MAC OS X,Product101,0,0,0
U106012,1,1,551,PR100044,WINDOWS,PR100044,1,0,0
U104970,1,1,610,PR100025,ANDROID,PR102275,0,0,0
U116391,1,1,65,PR100796,WINDOWS,PR100796,1,3,0
U108186,1,1,600,PR100202,WINDOWS,PR100202,1,0,0
U100134,2,10,484,PR100017,WINDOWS,PR100498,3,0,0
U101827,0,1,128,PR100102,ANDROID,PR100102,0,0,0
U113724,2,2,70,PR100279,WINDOWS,PR100342,2,0,0
U107396,1,3,163,PR100393,WINDOWS,PR100030,9,0,0
U114859,1,1,86,PR101409,WINDOWS,Product101,1,0,0
U111283,1,5,167,PR100017,ANDROID,PR100200,1,6,0
U125259,0,1,67,PR100070,ANDROID,PR100070,0,0,0
U101515,3,9,282,PR100069,WINDOWS,PR100266,3,60,0
U106608,1,1,921,PR100025,ANDROID,PR100025,1,2,0
U106975,1,9,51,PR100017,WINDOWS,PR100231,0,3,0
U110677,2,3,844,PR100086,WINDOWS,PR100545,3,0,0
U133501,0,0,70,Product101,WINDOWS,PR100054,0,0,0
U131074,0,0,944,Product101,ANDROID,PR100479,0,0,0
U117682,0,1,123,PR100567,ANDROID,PR100567,0,0,0
U101258,1,3,703,PR100152,WINDOWS,PR100000,4,6,0
U123407,0,1,789,PR101028,ANDROID,PR101028,0,0,0
U114445,0,0,660,Product101,WINDOWS,Product101,0,0,0
U127865,0,1,372,PR100317,ANDROID,PR100317,0,0,0
U123952,0,1,55,PR100857,MAC OS X,PR100857,0,0,0
U108412,3,2,62,PR100339,WINDOWS,PR100219,3,2,0
U136252,0,0,45,Product101,ANDROID,PR102901,0,0,0
U129313,0,0,365,Product101,WINDOWS,PR102761,0,0,0
U127514,0,1,53,PR100102,WINDOWS,PR100123,0,0,0
U129032,0,0,43,Product101,WINDOWS,PR100102,0,0,0
U112167,1,1,678,PR100401,WINDOWS,PR100401,1,1,0
U104570,1,5,416,PR100067,WINDOWS,PR100102,3,8,0
U104930,2,6,71,PR100301,WINDOWS,PR100237,1,1,0
U123777,0,3,442,PR101188,WINDOWS,PR100437,0,0,0
U103461,3,9,1194,PR100134,WINDOWS,PR100307,13,23,1
U121759,0,8,2032,PR100123,ANDROID,PR100166,0,0,0
U114388,1,4,286,PR100287,ANDROID,PR101853,5,18,0
U115809,1,4,329,PR100209,MAC OS X,PR100152,3,0,0
U131261,0,0,296,Product101,WINDOWS,Product101,0,0,0
U123730,0,2,255,PR100332,WINDOWS,PR100332,0,0,0
U110259,1,1,857,PR100017,WINDOWS,PR100017,1,2,0
U117020,1,13,93,PR100070,ANDROID,PR100015,24,2,0
U115683,0,3,71,PR100083,WINDOWS,PR100181,0,0,0
U133673,0,0,804,Product101,WINDOWS,PR100072,0,0,0
U122442,0,1,45,PR100003,WINDOWS,PR100003,0,0,0
U102046,1,1,81,PR100919,WINDOWS,Product101,1,0,0
U104724,3,14,122,PR100287,WINDOWS,PR100551,20,29,1
U122882,0,1,122,PR100017,ANDROID,PR100017,0,0,0
U122653,0,1,349,PR100669,WINDOWS,Product101,0,0,0
U117249,1,3,729,PR102654,WINDOWS,PR102858,3,7,0
U102707,0,1,74,PR100781,WINDOWS,Product101,0,0,0
U123802,0,1,129,PR100446,IOS,PR100446,0,0,0
U106573,3,2,1378,PR100166,WINDOWS,PR100166,5,4,0
U127996,0,1,627,PR100134,WINDOWS,PR100134,0,0,0
U111516,1,1,71,PR100102,WINDOWS,PR100102,1,0,0
U126443,0,2,683,PR100170,MAC OS X,PR100901,0,0,0
U101793,2,3,110,PR100739,ANDROID,PR100676,2,0,0
U131923,0,0,54,Product101,WINDOWS,PR100166,0,0,0
U121172,0,1,62,PR100017,ANDROID,PR100017,0,0,0
U118148,0,1,248,PR100102,WINDOWS,Product101,0,0,0
U119452,0,0,62,Product101,ANDROID,PR100859,0,0,0
U126027,0,1,629,PR100088,WINDOWS,PR100088,0,0,0
U122946,0,1,715,PR100150,WINDOWS,PR100150,0,0,0
U112360,1,1,57,PR101148,ANDROID,PR101148,1,0,0
U106592,1,1,1136,PR100025,ANDROID,PR100025,2,6,0
U134466,0,0,53,Product101,WINDOWS,Product101,0,0,0
U118884,0,1,61,PR100446,WINDOWS,PR100446,0,0,0
U119937,0,1,398,PR100542,ANDROID,PR100542,0,0,0
U104797,0,0,74,Product101,WINDOWS,PR100873,0,0,0
U124085,0,3,351,PR100102,ANDROID,PR100339,0,0,0
U115101,1,1,84,PR100115,ANDROID,PR100115,2,0,0
U103575,0,1,76,PR101027,WINDOWS,PR101027,0,0,0
U110992,1,1,88,PR100636,WINDOWS,PR100636,1,2,0
U100994,1,2,374,PR100073,ANDROID,PR100073,1,0,0
U114298,0,1,975,PR101363,WINDOWS,PR101363,0,0,0
U104489,1,6,120,PR100390,WINDOWS,PR101521,0,0,0
U119970,0,10,943,PR100396,WINDOWS,PR100000,0,0,0
U129996,0,0,53,Product101,MAC OS X,PR100072,0,0,0
U104526,1,1,46,PR100279,WINDOWS,PR100279,0,2,0
U108729,1,1,172,PR100492,LINUX,PR100492,1,0,0
U107460,2,2,59,PR100079,WINDOWS,PR100079,3,1,0
U118025,0,0,195,Product101,IOS,PR100409,0,0,0
U111273,1,2,79,PR100489,WINDOWS,PR100279,2,1,0
U111040,2,2,195,PR100010,ANDROID,PR100184,2,0,0
U129102,0,0,166,Product101,ANDROID,PR100006,0,0,0
U109689,1,1,588,PR100470,IOS,Product101,0,1,0
U113115,2,2,387,PR100024,WINDOWS,PR100024,1,1,0
U107865,1,3,84,PR100169,UBUNTU,PR100355,0,3,0
U110905,1,8,56,PR100363,WINDOWS,PR100390,5,25,0
U112708,2,8,1915,PR100600,WINDOWS,PR100591,6,9,0
U126005,0,1,670,PR100954,WINDOWS,Product101,0,0,0
U135325,0,0,42,Product101,WINDOWS,PR100070,0,0,0
U101719,0,1,126,PR100017,UBUNTU,PR100017,0,0,0
U112721,1,5,58,PR100241,WINDOWS,PR100872,4,5,0
U104509,3,11,881,PR100683,WINDOWS,PR100301,5,7,0
U115011,1,2,869,PR100908,ANDROID,PR100086,2,2,0
U102347,3,10,744,PR100332,WINDOWS,PR100217,4,159,0
U124363,0,2,288,PR100178,WINDOWS,PR100178,0,0,0
U108214,2,1,89,PR100234,ANDROID,PR100234,2,0,0
U130734,0,0,57,Product101,ANDROID,PR100616,0,0,0
U134337,0,0,75,Product101,LINUX,Product101,0,0,0
U114593,1,1,665,PR100097,WINDOWS,PR100097,1,0,0
U117285,1,3,97,PR100901,ANDROID,PR100901,5,2,0
U110742,1,1,341,PR100724,ANDROID,PR100724,1,0,0
U116268,1,1,533,PR100817,ANDROID,Product101,0,1,0
U106496,1,1,125,PR100250,WINDOWS,PR100250,1,0,0
U104490,1,2,823,PR101712,WINDOWS,PR100950,1,0,0
U122439,0,1,409,PR100233,WINDOWS,PR100233,0,0,0
U117435,1,10,75,PR100017,ANDROID,PR100287,17,43,0
U100313,0,2,1036,PR101293,WINDOWS,PR101293,0,0,0
U132132,0,0,282,Product101,ANDROID,PR100200,0,0,0
U121751,0,1,133,PR100640,WINDOWS,PR100640,0,0,0
U126262,0,4,78,PR100144,ANDROID,PR100144,0,0,0
U106710,1,1,411,PR100017,MAC OS X,PR100017,1,1,0
U114447,1,2,199,PR100636,WINDOWS,PR100636,1,7,0
U122835,0,1,58,PR100141,WINDOWS,PR100141,0,0,0
U124244,0,1,52,PR100469,MAC OS X,PR100469,0,0,0
U111489,2,8,473,PR100145,WINDOWS,PR100092,2,17,0
U127192,0,1,217,PR100102,WINDOWS,PR100102,0,0,0
U121430,0,3,238,PR100199,MAC OS X,PR100130,0,0,0
U119226,0,1,109,PR100446,WINDOWS,PR100446,0,0,0
U121056,0,1,85,PR101249,ANDROID,PR101249,0,0,0
U131736,0,0,315,Product101,ANDROID,PR100631,0,0,0
U132747,0,0,121,Product101,WINDOWS,PR100366,0,0,0
U100097,1,1,74,PR100019,WINDOWS,PR100146,0,1,0
U132911,0,0,209,Product101,MAC OS X,Product101,0,0,0
U136700,0,0,47,Product101,WINDOWS,PR100947,0,0,0
U131941,0,0,290,Product101,WINDOWS,PR100747,0,0,0
U116218,1,1,1235,PR101203,ANDROID,PR101203,1,0,0
U111749,1,5,356,PR100054,LINUX,PR100769,1,0,0
U135157,0,0,690,Product101,WINDOWS,Product101,0,0,0
U127460,0,1,68,PR100187,MAC OS X,PR100187,0,0,0
U107489,2,4,1694,PR101366,WINDOWS,PR100987,2,3,0
U107765,1,1,92,PR100200,ANDROID,PR100200,1,0,0
U116791,1,6,254,PR100102,WINDOWS,PR100390,4,5,0
U133182,0,0,45,Product101,WINDOWS,Product101,0,0,0
U102534,0,1,285,PR100135,WINDOWS,PR100697,0,0,0
U106723,1,4,120,PR104296,WINDOWS,PR100017,3,10,0
U119098,0,4,128,PR100095,WINDOWS,PR100876,0,0,0
U130554,0,0,76,Product101,WINDOWS,PR100017,0,0,0
U133969,0,0,400,Product101,WINDOWS,PR100243,0,0,0
U128379,0,1,731,PR102113,WINDOWS,PR102113,0,0,0
U102388,1,2,346,PR100005,WINDOWS,PR100005,1,6,0
U106836,0,1,74,PR100266,MAC OS X,Product101,0,0,0
U116440,1,1,410,PR100200,MAC OS X,PR100200,1,1,0
U109095,1,4,43,PR100102,ANDROID,PR100010,1,0,0
U110545,1,1,788,PR100515,ANDROID,PR100739,0,0,0
U100490,1,1,54,PR100054,LINUX,PR100054,1,0,0
U102013,1,1,72,PR100089,ANDROID,PR100089,1,0,0
U115116,1,1,63,PR100188,WINDOWS,PR100188,1,3,0
U136713,0,0,110,Product101,WINDOWS,PR100771,0,0,0
U125976,0,3,201,PR100366,WINDOWS,PR100876,0,0,0
U109396,1,13,232,PR100017,WINDOWS,PR101054,13,24,0
U126416,0,1,121,PR100102,ANDROID,PR100102,0,0,0
U117809,0,3,637,PR100682,WINDOWS,PR100390,0,0,0
U108685,0,2,675,PR100113,WINDOWS,PR100113,0,0,0
U113644,1,2,227,PR100086,LINUX,PR100028,3,0,0
U108354,0,2,108,PR100063,ANDROID,PR100166,0,0,0
U136738,0,0,1701,Product101,MAC OS X,PR100340,0,0,0
U105041,1,4,200,PR100606,WINDOWS,PR101312,4,3,0
U109755,1,0,52,Product101,WINDOWS,Product101,1,0,0
U120629,0,0,85,Product101,MAC OS X,PR100872,0,0,0
U126531,0,2,54,PR100134,MAC OS X,PR100134,0,0,0
U136583,0,0,54,Product101,ANDROID,Product101,0,0,0
U120508,0,1,383,PR100354,ANDROID,PR100354,0,0,0
U126306,0,1,61,PR100567,WINDOWS,Product101,0,0,0
U126273,0,2,66,PR100099,ANDROID,PR100142,0,0,0
U135419,0,0,192,Product101,WINDOWS,PR100060,0,0,0
U123700,0,2,116,PR100166,ANDROID,PR100102,0,0,0
U104305,3,3,77,PR100023,ANDROID,PR100025,2,1,0
U123429,0,1,586,PR100250,WINDOWS,PR100250,0,0,0
U115418,1,4,58,PR100241,ANDROID,PR100113,5,4,0
U107756,1,1,80,PR100237,WINDOWS,Product101,0,1,0
U115987,0,0,57,Product101,ANDROID,PR100010,0,0,0
U110225,1,8,44,PR100070,WINDOWS,PR100200,3,17,0
U111692,0,0,855,Product101,WINDOWS,PR112179,0,0,0
U130341,0,0,81,Product101,WINDOWS,PR100522,0,0,0
U121072,0,2,1930,PR100102,WINDOWS,PR100102,0,0,0
U109753,1,5,609,PR101741,WINDOWS,PR101741,3,1,0
U114111,1,1,198,PR100188,ANDROID,PR100188,1,1,0
U121796,0,2,438,PR100200,MAC OS X,PR100200,0,0,0
U105179,1,1,854,PR100166,WINDOWS,PR100166,0,1,0
U119475,0,3,79,PR100073,ANDROID,PR100073,0,0,0
U116086,1,1,75,PR100067,WINDOWS,PR100067,1,2,0
U117679,1,1,178,PR100244,MAC OS X,PR100244,1,0,0
U125302,0,1,50,PR100823,WINDOWS,PR100041,0,0,0
U112592,3,6,202,PR100318,ANDROID,PR100318,2,2,0
U102094,3,6,123,PR100279,WINDOWS,PR100197,5,6,0
U129410,0,0,376,Product101,WINDOWS,PR101125,0,0,0
U131842,0,0,536,Product101,MAC OS X,Product101,0,0,0
U126314,0,9,1122,PR100428,WINDOWS,PR100028,0,0,0
U113783,1,2,292,PR100102,ANDROID,PR100102,0,1,0
U101697,3,6,48,PR100000,WINDOWS,PR100000,0,4,0
U102998,1,2,192,PR100578,WINDOWS,PR100578,1,4,0
U136229,0,0,43,Product101,ANDROID,Product101,0,0,0
U125086,0,1,302,PR100206,WINDOWS,PR100206,0,0,0
U129854,0,0,151,Product101,ANDROID,PR100629,0,0,0
U114499,1,4,93,PR100199,WINDOWS,PR100199,1,2,0
U119628,0,1,413,PR100017,ANDROID,PR100017,0,0,0
U131470,0,0,51,Product101,ANDROID,PR100080,0,0,0
U136379,0,0,52,Product101,MAC OS X,Product101,0,0,0
U109897,1,1,122,PR100368,ANDROID,PR100368,1,1,0
U134074,0,0,974,Product101,WINDOWS,Product101,0,0,0
U126990,0,1,116,PR100254,WINDOWS,PR100254,0,0,0
U109028,2,3,63,PR100095,WINDOWS,PR100012,9,4,0
U124407,0,1,111,PR102072,ANDROID,PR102072,0,0,0
U118817,0,4,110,PR100219,ANDROID,PR100060,0,0,0
U133678,0,0,682,Product101,ANDROID,PR100200,0,0,0
U101837,0,0,110,Product101,ANDROID,PR100204,0,0,0
U123988,0,1,813,PR102265,MAC OS X,PR102265,0,0,0
U117569,1,1,1350,PR100101,MAC OS X,PR100773,0,1,0
U115634,1,2,55,PR100145,WINDOWS,PR100850,2,1,0
U127401,0,1,75,PR100859,WINDOWS,PR100859,0,0,0
U105716,1,8,119,PR100072,WINDOWS,PR100390,8,8,0
U101027,1,2,55,PR100183,WINDOWS,PR100183,1,1,0
U131734,0,0,96,Product101,WINDOWS,PR100088,0,0,0
U129121,0,0,63,Product101,MAC OS X,PR100028,0,0,0
U111115,1,1,169,PR100750,ANDROID,Product101,0,1,0
U102876,1,1,1201,PR101490,ANDROID,PR101490,1,0,0
U133929,0,0,210,Product101,ANDROID,PR100017,0,0,0
U100288,1,2,70,PR100633,ANDROID,PR100039,1,0,0
U113095,1,1,293,PR100113,WINDOWS,PR100113,1,0,0
U101325,1,1,840,PR101207,IOS,PR101207,1,0,0
U133300,0,0,650,Product101,WINDOWS,PR100739,0,0,0
U109668,0,1,79,PR100397,WINDOWS,PR100390,0,0,0
U105038,1,3,96,PR100000,WINDOWS,PR100000,0,0,0
U132160,0,0,44,Product101,LINUX,PR100060,0,0,0
U133651,0,0,139,Product101,WINDOWS,PR100188,0,0,0
U103076,4,14,185,PR100184,ANDROID,PR100470,9,21,0
U100575,0,7,338,PR101406,MAC OS X,PR100219,0,0,0
U107714,1,2,110,PR100102,ANDROID,PR100102,0,0,0
U105873,1,1,51,PR100152,WINDOWS,PR100152,3,12,0
U116129,1,2,625,PR100881,UBUNTU,Product101,0,4,0
U115886,1,1,72,PR101744,WINDOWS,PR100739,0,1,0
U132612,0,0,302,Product101,ANDROID,PR100069,0,0,0
U134120,0,0,84,Product101,ANDROID,Product101,0,0,0
U102028,0,1,415,PR100672,ANDROID,PR100672,0,0,0
U119699,0,2,46,PR100032,WINDOWS,PR100032,0,0,0
U100095,4,14,1145,PR100400,MAC OS X,PR100370,6,8,0
U125120,0,1,62,PR100342,WINDOWS,Product101,0,0,0
U122150,0,1,322,PR101146,ANDROID,Product101,0,0,0
U133031,0,0,444,Product101,WINDOWS,PR101148,0,0,0
U117972,0,1,268,PR101587,ANDROID,PR101587,0,0,0
U115292,2,2,134,PR100951,WINDOWS,PR100951,1,2,0
U117352,1,4,786,PR100166,WINDOWS,PR100390,5,3,0
U129483,0,0,357,Product101,FEDORA,Product101,0,0,0
