UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U115106,1,3,219,PR100017,WINDOWS,PR101042,5,1
U120446,0,1,309,PR100481,WINDOWS,Product101,0,0
U132737,0,0,947,Product101,WINDOWS,PR101814,0,0
U117392,1,2,164,PR100062,MAC OS X,PR100062,1,1
U117702,1,1,61,PR100015,WINDOWS,PR100015,2,0
U103866,1,1,633,PR100050,MAC OS X,PR100050,1,6
U129546,0,0,286,Product101,WINDOWS,PR100298,0,0
U128893,0,0,708,Product101,ANDROID,PR100023,0,0
U127001,0,1,59,PR100128,ANDROID,PR100128,0,0
U105028,1,4,45,PR100044,WINDOWS,PR100515,1,2
U119330,0,4,67,PR100850,ANDROID,PR100145,0,0
U128871,0,0,229,Product101,ANDROID,PR100017,0,0
U104869,3,10,559,PR100102,WINDOWS,PR102229,17,33
U114973,1,1,302,PR100017,ANDROID,PR100017,1,4
U113685,0,0,1153,Product101,WINDOWS,Product101,0,0
U119345,0,7,67,PR100850,WINDOWS,PR100312,0,0
U118553,0,1,243,PR101421,WINDOWS,PR101421,0,0
U100035,0,0,72,Product101,ANDROID,PR100633,0,0
U108304,1,1,881,PR100501,WINDOWS,PR100501,1,0
U123590,0,4,495,PR100020,WINDOWS,PR100272,0,0
U113811,1,2,471,PR100487,MAC OS X,PR100487,1,2
U118754,0,1,122,PR100254,WINDOWS,PR100102,0,0
U120121,0,2,1194,PR100390,MAC OS X,PR100390,0,0
U132930,0,0,1118,Product101,ANDROID,PR101463,0,0
U111057,2,4,52,PR100028,WINDOWS,PR100028,10,38
U134113,0,0,158,Product101,MAC OS X,PR100254,0,0
U110642,1,2,331,PR100959,WINDOWS,PR101651,0,1
U101832,3,7,1935,PR100443,MAC OS X,PR100898,4,12
U115515,1,1,65,PR100070,ANDROID,Product101,0,0
U113700,1,1,352,PR100788,ANDROID,PR100788,1,0
U119364,0,2,67,PR100145,WINDOWS,PR100145,0,0
U132826,0,0,84,Product101,ANDROID,Product101,0,0
U106810,3,17,329,PR101610,WINDOWS,PR100941,6,4
U103377,1,2,1416,PR100102,WINDOWS,PR100063,1,1
U129469,0,0,60,Product101,WINDOWS,PR100086,0,0
U111323,2,4,207,PR100145,ANDROID,PR100428,5,4
U122334,0,0,378,Product101,WINDOWS,PR100697,0,0
U112373,1,1,790,PR100917,WINDOWS,PR100917,1,1
U118996,0,0,67,Product101,LINUX,Product101,0,0
U126504,0,1,78,PR100130,ANDROID,PR100130,0,0
U110160,1,2,122,PR100102,WINDOWS,PR100017,3,1
U120919,0,2,298,PR101355,MAC OS X,PR101355,0,0
U136934,0,0,543,Product101,ANDROID,PR100130,0,0
U113412,0,2,240,PR100187,LINUX,PR100187,0,0
U133288,0,0,929,Product101,WINDOWS,PR100481,0,0
U134715,0,0,198,Product101,ANDROID,PR101295,0,0
U133852,0,0,1059,Product101,WINDOWS,PR100363,0,0
U132418,0,0,223,Product101,ANDROID,PR100269,0,0
U103297,4,5,1920,PR100200,WINDOWS,PR101397,4,5
U129535,0,0,70,Product101,ANDROID,PR100102,0,0
U105892,1,1,244,PR100025,ANDROID,PR100025,1,0
U133737,0,0,67,Product101,MAC OS X,PR101051,0,0
U105296,1,3,1110,PR100152,WINDOWS,PR100275,2,3
U100164,4,10,181,PR100390,WINDOWS,PR100390,48,62
U102560,3,21,152,PR100390,WINDOWS,PR100200,9,15
U116967,1,4,1152,PR100051,WINDOWS,PR100200,0,3
U111906,2,2,72,PR101425,MAC OS X,PR101425,3,2
U117343,1,2,230,PR100612,LINUX,PR101042,2,1
U104432,1,3,60,PR100166,WINDOWS,PR100123,3,3
U115105,0,1,403,PR100080,WINDOWS,PR100080,0,0
U132137,0,0,124,Product101,WINDOWS,PR100296,0,0
U118422,0,2,1622,PR100318,ANDROID,PR100369,0,0
U105377,5,16,448,PR100302,WINDOWS,PR100279,13,4
U132207,0,0,394,Product101,ANDROID,Product101,0,0
U119418,0,1,48,PR100801,WINDOWS,PR100801,0,0
U120081,0,2,1642,PR100017,MAC OS X,PR100017,0,0
U130653,0,0,959,Product101,WINDOWS,PR100434,0,0
U111378,2,10,118,PR100166,WINDOWS,PR100166,11,27
U120012,0,1,603,PR100083,WINDOWS,PR100083,0,0
U118137,0,1,72,PR100504,WINDOWS,PR100504,0,0
U117563,1,2,502,PR100279,WINDOWS,PR100408,0,4
U112210,1,2,2209,PR100202,WINDOWS,PR102273,1,0
U129630,0,0,102,Product101,WINDOWS,PR100070,0,0
U113815,1,1,109,PR100403,WINDOWS,PR100403,1,1
U134311,0,0,524,Product101,WINDOWS,Product101,0,0
U127005,0,0,43,Product101,WINDOWS,PR100885,0,0
U117297,1,10,277,PR100014,WINDOWS,PR100014,7,27
U128166,0,1,55,PR100859,ANDROID,PR100859,0,0
U107168,1,1,52,PR100060,WINDOWS,PR100060,1,0
U114355,1,6,1092,PR100937,WINDOWS,PR101537,2,1
U123253,0,1,191,PR100130,WINDOWS,PR100130,0,0
U129959,0,0,118,Product101,ANDROID,PR101730,0,0
U135026,0,0,68,Product101,UBUNTU,PR112307,0,0
U124605,0,2,1060,PR100206,WINDOWS,PR100776,0,0
U130799,0,0,249,Product101,IOS,PR100102,0,0
U125428,0,1,52,PR100219,MAC OS X,PR100219,0,0
U112336,1,1,996,PR100102,WINDOWS,PR100102,1,6
U116569,1,1,80,PR100225,WINDOWS,Product101,0,1
U121874,0,1,1003,PR100244,WINDOWS,Product101,0,0
U116565,1,1,1791,PR100019,WINDOWS,Product101,0,0
U100050,4,4,63,PR100190,WINDOWS,PR100178,18,19
U110546,2,4,123,PR101922,WINDOWS,PR101922,2,3
U127066,0,1,78,PR100055,MAC OS X,PR100055,0,0
U130593,0,0,83,Product101,WINDOWS,PR100269,0,0
U127500,0,1,86,PR100362,MAC OS X,PR100362,0,0
U111589,2,1,666,PR100664,ANDROID,PR100664,3,0
U106674,1,2,673,PR100108,ANDROID,PR100108,6,2
U101040,1,4,136,PR100456,MAC OS X,PR100092,0,3
U134015,0,0,45,Product101,WINDOWS,PR100760,0,0
U103303,0,0,73,Product101,WINDOWS,PR100102,0,0
U113479,1,2,447,PR101603,WINDOWS,PR100161,1,0
U106440,1,1,225,PR101241,WINDOWS,PR101241,0,3
U130479,0,0,61,Product101,WINDOWS,PR100036,0,0
U112137,2,3,1426,PR101602,IOS,PR101602,4,2
U100761,0,0,97,Product101,WINDOWS,PR100013,0,0
U129066,0,0,62,Product101,WINDOWS,PR100280,0,0
U112198,1,3,101,PR100153,MAC OS X,PR100153,1,0
U127407,0,2,45,PR100102,ANDROID,PR100102,0,0
U121536,0,0,159,Product101,ANDROID,PR100107,0,0
U134026,0,0,198,Product101,WINDOWS,PR100269,0,0
U135463,0,0,55,Product101,ANDROID,PR100172,0,0
U100902,1,2,1321,PR100250,WINDOWS,PR100250,1,0
U114275,1,1,350,PR100102,ANDROID,Product101,0,1
U133417,0,0,362,Product101,WINDOWS,PR100051,0,0
U134342,0,0,61,Product101,MAC OS X,PR100189,0,0
U115659,1,2,248,PR100145,ANDROID,PR100145,0,3
U131400,0,0,51,Product101,IOS,PR100200,0,0
U105441,2,3,61,PR100089,ANDROID,PR100089,2,0
U131006,0,0,65,Product101,LINUX,PR100313,0,0
U117293,1,33,78,PR100166,ANDROID,PR100084,1,0
U134531,0,0,221,Product101,WINDOWS,Product101,0,0
U112294,0,1,79,PR100238,ANDROID,PR100238,0,0
U115633,1,2,59,PR100145,ANDROID,PR100145,2,3
U120054,0,2,903,PR101030,WINDOWS,PR101030,0,0
U106163,2,3,108,PR100330,WINDOWS,PR100929,2,7
U113338,1,2,46,PR100102,ANDROID,Product101,0,25
U122045,0,1,295,PR100209,WINDOWS,PR100209,0,0
U123946,0,3,80,PR100070,ANDROID,PR100646,0,0
U104340,1,4,57,PR102973,WINDOWS,PR102973,4,6
U131951,0,0,160,Product101,MAC OS X,PR100181,0,0
U125818,0,2,194,PR101050,UBUNTU,PR101050,0,0
U126239,0,3,303,PR100554,WINDOWS,PR100554,0,0
U112927,2,5,540,PR102063,WINDOWS,PR100975,4,1
U104968,1,1,142,PR100279,UBUNTU,PR100279,1,0
U125580,0,1,111,PR100277,LINUX,PR100277,0,0
U117058,1,1,49,PR100036,WINDOWS,PR100145,0,1
U120314,0,1,442,PR100102,ANDROID,PR100102,0,0
U133415,0,0,102,Product101,WINDOWS,PR100736,0,0
U132710,0,0,439,Product101,WINDOWS,PR100436,0,0
U107902,2,10,622,PR100051,LINUX,PR101640,11,9
U119667,0,1,1431,PR100073,ANDROID,PR100073,0,0
U127909,0,1,2127,PR100185,LINUX,PR100185,0,0
U129404,0,0,71,Product101,WINDOWS,PR100102,0,0
U130344,0,0,198,Product101,ANDROID,PR100629,0,0
U104862,5,23,1166,PR101042,UBUNTU,PR101042,73,561
U126086,0,1,270,PR100451,MAC OS X,Product101,0,0
U121086,0,1,1159,PR100661,WINDOWS,PR100661,0,0
U136421,0,0,411,Product101,ANDROID,PR100028,0,0
U114673,1,1,86,PR100028,LINUX,PR100028,0,1
U106092,1,1,66,PR100344,WINDOWS,PR100344,1,3
U125354,0,1,87,PR100017,ANDROID,PR100017,0,0
U112387,1,4,49,PR100027,WINDOWS,PR100919,2,6
U112154,1,1,712,PR100307,WINDOWS,PR100307,4,0
U106086,1,3,1085,PR100025,WINDOWS,PR100025,2,0
U106505,1,1,556,PR100539,WINDOWS,Product101,0,0
U119779,0,3,171,PR100739,MAC OS X,PR100888,0,0
U108749,1,3,627,PR100017,WINDOWS,PR100044,3,12
U105352,1,1,885,PR100035,IOS,PR100035,1,0
U100698,2,4,585,PR100272,ANDROID,PR104056,4,1
U105307,1,2,42,PR100003,WINDOWS,PR100453,1,0
U123977,0,1,90,PR101614,WINDOWS,Product101,0,0
U115836,2,6,61,PR100178,WINDOWS,PR100178,2,34
U130999,0,0,219,Product101,WINDOWS,PR100977,0,0
U123427,0,1,195,PR101218,ANDROID,PR101218,0,0
U129627,0,0,856,Product101,WINDOWS,PR100166,0,0
U134147,0,0,70,Product101,WINDOWS,Product101,0,0
U126055,0,1,1060,PR100152,FEDORA,PR100152,0,0
U116938,1,1,659,PR100417,ANDROID,Product101,0,2
U120846,0,4,146,PR101123,ANDROID,PR102991,0,0
U122664,0,3,191,PR100401,ANDROID,PR103252,0,0
U117736,1,1,86,PR100428,WINDOWS,Product101,1,1
U110570,1,1,459,PR100065,WINDOWS,PR100065,2,0
U106018,1,1,66,PR100120,IOS,PR100120,2,0
U118359,0,1,272,PR100017,ANDROID,PR100017,0,0
U119732,0,1,49,PR100541,WINDOWS,PR100541,0,0
U126896,0,0,58,Product101,ANDROID,PR100277,0,0
U123400,0,4,147,PR100095,WINDOWS,PR100446,0,0
U100294,0,2,318,PR100401,WINDOWS,PR100416,0,0
U133672,0,0,189,Product101,WINDOWS,PR100020,0,0
U116476,1,1,1322,PR100617,ANDROID,Product101,0,1
U132720,0,0,160,Product101,WINDOWS,PR100390,0,0
U116043,1,3,739,PR100739,ANDROID,PR100130,1,0
U103417,1,1,88,PR100788,ANDROID,PR100788,1,0
U120666,0,4,195,PR100166,WINDOWS,PR100876,0,0
U135828,0,0,57,Product101,WINDOWS,PR102206,0,0
U120937,0,3,264,PR100471,WINDOWS,PR100471,0,0
U136855,0,0,49,Product101,ANDROID,PR100023,0,0
U122992,0,1,1210,PR100588,ANDROID,PR100588,0,0
U111046,1,3,270,PR100145,ANDROID,PR100850,6,0
U105237,2,3,96,PR100166,WINDOWS,PR100166,3,2
U125956,0,2,248,PR100244,ANDROID,PR100483,0,0
U116329,1,1,1226,PR100152,IOS,PR100152,1,0
U120214,0,1,1690,PR100106,ANDROID,PR100106,0,0
U119155,0,6,65,PR100072,WINDOWS,PR101062,0,0
U106969,1,3,650,PR100279,MAC OS X,PR100279,1,10
U109585,1,5,108,PR100743,WINDOWS,PR100802,1,0
U116117,1,1,321,PR100121,WINDOWS,Product101,0,3
U107415,1,1,192,PR100980,WINDOWS,PR100980,1,0
U103490,1,1,839,PR100390,WINDOWS,PR100390,2,0
U120398,0,2,529,PR100569,ANDROID,PR100569,0,0
U118130,0,1,380,PR100102,ANDROID,Product101,0,0
U131416,0,0,114,Product101,WINDOWS,PR100469,0,0
U119646,0,3,409,PR100166,WINDOWS,PR100390,0,0
U120090,0,2,243,PR100109,UBUNTU,PR100109,0,0
U122001,0,2,115,PR100144,WINDOWS,PR100144,0,0
U122999,0,1,134,PR100050,ANDROID,PR100050,0,0
U132598,0,0,149,Product101,WINDOWS,PR100200,0,0
U122986,0,1,147,PR100274,WINDOWS,PR100274,0,0
U130515,0,0,1006,Product101,LINUX,PR101814,0,0
U109808,3,8,157,PR100047,WINDOWS,PR100983,2,4
U103506,1,11,533,PR100017,ANDROID,PR100195,2,2
U121312,0,1,206,PR101137,ANDROID,PR101137,0,0
U107758,0,1,93,PR100151,WINDOWS,PR100151,0,0
U118300,0,1,1963,PR100409,WINDOWS,PR100409,0,0
U129475,0,0,66,Product101,WINDOWS,Product101,0,0
U110091,2,6,52,PR100301,WINDOWS,PR100063,2,69
U110433,1,2,220,PR100859,WINDOWS,PR100844,1,0
U122503,0,1,42,PR100286,ANDROID,Product101,0,0
U129124,0,0,821,Product101,WINDOWS,PR100450,0,0
U113356,1,1,79,PR100080,WINDOWS,PR100080,1,0
U128534,0,0,120,Product101,WINDOWS,PR100102,0,0
U107291,2,1,1133,PR100301,MAC OS X,PR100301,2,0
U134986,0,0,663,Product101,MAC OS X,PR100283,0,0
U115034,1,1,1527,PR100764,WINDOWS,Product101,0,0
U100205,4,1,42,PR100023,WINDOWS,PR100023,4,5
U118841,0,2,1927,PR100012,WINDOWS,PR100364,0,0
U100420,3,5,72,PR100451,WINDOWS,PR100792,7,0
U124901,0,2,135,PR100071,WINDOWS,PR100071,0,0
U126344,0,1,204,PR100084,WINDOWS,PR100084,0,0
U133765,0,0,139,Product101,WINDOWS,PR100736,0,0
U119686,0,2,146,PR101575,ANDROID,PR101575,0,0
U106846,0,1,51,PR100258,ANDROID,PR100258,0,0
U113316,1,8,110,PR100123,WINDOWS,PR100390,1,0
U101479,0,1,751,PR100079,ANDROID,PR100079,0,0
U126685,0,1,104,PR100850,ANDROID,Product101,0,0
U113905,0,0,68,Product101,ANDROID,Product101,0,0
U121739,0,6,109,PR100458,WINDOWS,PR100044,0,0
U135663,0,0,55,Product101,WINDOWS,PR100120,0,0
U111790,1,1,874,PR101017,MAC OS X,PR101017,1,1
U103062,2,2,117,PR100479,ANDROID,PR100479,2,9
U128460,0,0,251,Product101,WINDOWS,PR100074,0,0
U133608,0,0,201,Product101,ANDROID,PR100872,0,0
U132768,0,0,572,Product101,WINDOWS,PR100116,0,0
U116169,0,0,97,Product101,ANDROID,PR100241,0,0
U129273,0,0,942,Product101,WINDOWS,Product101,0,0
U101613,0,1,87,PR100200,MAC OS X,PR100200,0,0
U113624,2,2,766,PR100166,ANDROID,PR100166,2,6
U102953,0,4,103,PR100166,WINDOWS,PR101181,0,0
U136341,0,0,48,Product101,ANDROID,PR100028,0,0
U107397,1,2,1556,PR100025,IOS,PR100025,1,0
U122364,0,4,335,PR101151,WINDOWS,PR100080,0,0
U118039,0,1,772,PR100003,ANDROID,PR100003,0,0
U106198,1,1,752,PR100910,ANDROID,Product101,0,1
U114102,1,21,54,PR101042,WINDOWS,PR101042,1,1
U134877,0,0,49,Product101,ANDROID,PR100241,0,0
U118920,0,1,51,PR100017,WINDOWS,PR100017,0,0
U114803,1,1,398,PR100086,WINDOWS,PR100086,1,0
U119328,0,7,67,PR100145,WINDOWS,PR100562,0,0
U132618,0,0,331,Product101,ANDROID,PR100920,0,0
U126425,0,2,661,PR100355,WINDOWS,PR100591,0,0
U125909,0,1,314,PR100339,WINDOWS,PR100339,0,0
U114515,1,4,141,PR100142,WINDOWS,PR100301,1,2
U107953,1,6,1871,PR100017,WINDOWS,PR100551,2,2
U113052,1,1,530,PR100434,ANDROID,PR100434,1,0
U135027,0,0,669,Product101,WINDOWS,PR100275,0,0
U118259,0,1,2045,PR101029,WINDOWS,PR101029,0,0
U114873,1,3,61,PR100322,WINDOWS,PR102746,2,2
U110114,1,1,49,PR100859,WINDOWS,PR100859,1,0
U124100,0,1,265,PR100166,IOS,PR100166,0,0
U116837,1,1,248,PR100017,WINDOWS,Product101,0,1
U132654,0,0,73,Product101,ANDROID,Product101,0,0
U124861,0,1,93,PR100481,WINDOWS,PR100481,0,0
U112363,1,1,110,PR100301,ANDROID,PR100301,2,1
U133211,0,0,253,Product101,WINDOWS,PR100051,0,0
U112521,1,3,85,PR100317,ANDROID,PR100102,1,0
U117376,1,4,51,PR100279,WINDOWS,PR100279,1,0
U104136,0,2,144,PR101301,MAC OS X,PR100143,0,0
U119447,0,2,173,PR100308,WINDOWS,PR100047,0,0
U134229,0,0,315,Product101,LINUX,PR100097,0,0
U114704,2,2,291,PR100083,WINDOWS,PR100206,2,6
U121320,0,1,222,PR100102,ANDROID,PR100102,0,0
U112364,1,2,390,PR100436,WINDOWS,PR100906,2,28
U106626,2,4,269,PR100017,ANDROID,PR100017,3,4
U105857,1,2,408,PR100102,ANDROID,PR100102,0,1
U100411,3,6,2256,PR100359,WINDOWS,PR100200,2,12
U117780,1,2,739,PR100369,ANDROID,PR100369,1,0
U103935,2,4,792,PR100850,WINDOWS,PR100576,4,5
U129677,0,0,651,Product101,WINDOWS,PR100221,0,0
U100819,4,2,843,PR100172,ANDROID,PR100172,6,0
U113799,1,9,90,PR100515,WINDOWS,PR100166,10,58
U120729,0,2,76,PR101657,WINDOWS,PR102000,0,0
U124376,0,1,1991,PR100954,WINDOWS,PR100954,0,0
U102833,2,2,398,PR100557,ANDROID,PR100642,1,0
U112549,1,1,272,PR100102,ANDROID,Product101,0,1
U133173,0,0,53,Product101,ANDROID,PR100219,0,0
U125589,0,3,66,PR100901,WINDOWS,PR100573,0,0
U128326,0,1,46,PR100102,WINDOWS,PR100102,0,0
U134412,0,0,431,Product101,WINDOWS,PR100068,0,0
U122432,0,4,583,PR100219,WINDOWS,PR100251,0,0
U128816,0,0,1853,Product101,WINDOWS,PR100453,0,0
U136605,0,0,76,Product101,MAC OS X,Product101,0,0
U135124,0,0,284,Product101,ANDROID,PR100390,0,0
U101399,0,0,72,Product101,ANDROID,PR100023,0,0
U109767,2,3,83,PR100103,WINDOWS,PR100441,3,2
U116190,1,1,286,PR100670,ANDROID,PR100670,1,0
U104043,2,6,521,PR100758,WINDOWS,PR100368,5,4
U108591,1,1,802,PR100636,WINDOWS,Product101,1,1
U123658,0,1,241,PR100003,WINDOWS,PR100003,0,0
U124851,0,0,246,Product101,ANDROID,PR100145,0,0
U107527,3,10,1595,PR100469,WINDOWS,PR100094,3,1
U120854,0,2,163,PR100859,ANDROID,Product101,0,0
U114263,1,1,48,PR100021,MAC OS X,PR100021,2,0
U129206,0,0,42,Product101,WINDOWS,PR100145,0,0
U121185,0,1,256,PR100166,WINDOWS,PR100166,0,0
U129178,0,0,56,Product101,WINDOWS,PR100027,0,0
U100593,2,11,1096,PR100390,UBUNTU,PR100370,13,11
U133792,0,0,163,Product101,WINDOWS,Product101,0,0
U106231,0,0,655,Product101,ANDROID,PR101097,0,0
U136357,0,0,437,Product101,WINDOWS,PR100507,0,0
U126734,0,1,104,PR100017,ANDROID,PR100017,0,0
U102721,1,1,1254,PR101500,LINUX,PR101500,1,1
U111555,1,2,1125,PR100102,ANDROID,PR100640,1,0
U109746,2,3,209,PR100266,WINDOWS,PR100266,1,2
U120733,0,2,645,PR100051,WINDOWS,PR101111,0,0
U108055,1,1,444,PR100102,ANDROID,PR100102,1,22
U100188,5,10,202,PR100852,WINDOWS,PR100764,11,8
U123235,0,3,46,PR100070,WINDOWS,PR100070,0,0
U108845,3,3,373,PR100044,WINDOWS,PR100044,3,3
U117934,0,13,118,PR100097,MAC OS X,PR100192,0,0
U131817,0,0,45,Product101,ANDROID,PR102009,0,0
U129501,0,0,458,Product101,WINDOWS,PR100139,0,0
U103100,0,1,57,PR100677,ANDROID,PR100677,0,0
U106996,3,13,202,PR100102,ANDROID,PR100234,10,9
U106555,1,1,296,PR100017,WINDOWS,PR100017,1,2
U109282,2,2,571,PR100041,WINDOWS,PR100041,1,11
U113915,2,5,276,PR101500,WINDOWS,PR100389,2,3
U121202,0,1,82,PR100209,ANDROID,PR100209,0,0
U113208,1,2,397,PR100017,ANDROID,PR100017,0,0
U136927,0,0,55,Product101,WINDOWS,Product101,0,0
U100760,1,1,178,PR100119,MAC OS X,PR100119,1,0
U108340,1,2,62,PR100219,WINDOWS,PR100219,10,7
U123599,0,1,65,PR100266,UBUNTU,PR100266,0,0
U136281,0,0,417,Product101,ANDROID,PR100485,0,0
U116389,1,1,960,PR100080,WINDOWS,PR100080,1,0
U122390,0,1,757,PR101235,WINDOWS,PR101235,0,0
U116302,1,1,69,PR100020,WINDOWS,PR100015,1,1
U101712,1,9,574,PR100417,WINDOWS,PR100044,1,0
U121554,0,1,960,PR100244,ANDROID,PR100244,0,0
U128769,0,0,1028,Product101,WINDOWS,PR100397,0,0
U128844,0,0,106,Product101,WINDOWS,PR103429,0,0
U129210,0,0,208,Product101,WINDOWS,PR100014,0,0
U121831,0,1,205,PR100859,WINDOWS,Product101,0,0
U110371,1,3,233,PR100130,WINDOWS,PR100121,0,2
U125548,0,1,1440,PR100869,MAC OS X,Product101,0,0
U103120,0,2,116,PR100539,WINDOWS,PR100539,0,0
U127933,0,0,1716,Product101,ANDROID,PR100102,0,0
U116711,1,2,66,PR100133,WINDOWS,PR100133,1,0
U114662,1,1,107,PR100010,ANDROID,PR100010,1,0
U105727,2,10,70,PR100363,WINDOWS,PR100363,9,19
U117771,1,1,263,PR100654,WINDOWS,PR100654,0,2
U103857,1,2,108,PR100102,WINDOWS,PR100263,1,0
U116880,1,4,117,PR100017,WINDOWS,PR100017,7,7
U136656,0,0,50,Product101,WINDOWS,PR100080,0,0
U114560,1,1,74,PR100254,WINDOWS,PR100254,1,1
U115315,0,0,74,Product101,MAC OS X,Product101,0,0
U120971,0,3,61,PR100051,WINDOWS,PR100051,0,0
U113928,1,1,116,PR100030,ANDROID,Product101,0,1
U105599,1,1,205,PR100217,ANDROID,PR100217,1,0
U133246,0,0,128,Product101,WINDOWS,PR100972,0,0
U119819,0,1,100,PR100469,IOS,PR100469,0,0
U119507,0,3,1052,PR100017,WINDOWS,PR100017,0,0
